Samples	Sample description	X4E_BP1_S65	AKT_S473	AKT_T308	AMPKa1_S485	AMPKb1_S108	Bcl2_S70	CC3_D175	cKit_Y703	Cofilin_S3	cPLA2_S505	E_Cadherin	EGFR_Y1068	EGFR_Y1148	EGFR_Y1173	ErbB2_Y1248	ErbB3_Y1289	ERK_T202Y204	FAK_Y576Y577	GSK3ab_S21S9	LC3B	LIMK1_T508_LIMK2_T505	LKB1_S334	IGF1R_Y1135Y1136_IR_Y1150Y1151	mTOR_S2448	p38_MAPK_T180Y182	p90RSK_S380	PAK1_S199S204_PAK2_S192S197	PARP_cleaved_D214	Paxillin_Y118	PDGFRa_Y754	PDGFRb_Y716	PKC_ab_T638T641	PLCg1_Y783	Ret_Y905	Ron_Y1353	SAPK_JNK_T183Y185	Src_Y527	Src_Fam_Y416	cMet	VEGFR2_Y1175	VEGFR2_Y996	PTEN	PTEN_S380	EGFR	Stat3_S727	NFkB_p65_S536	S6_Ribosomal_Protein_S235S236	S6_Ribosomal_Protein_S240S244	SGK1_S78	p53	ALK_Y1586	B_Raf_S445	C_Raf_S338	CREB_S133	Elk1_S383	FKHR_S256	IRS1_S612	MDM2_S166	MEK_12_S217S221	p70_S6_Kinase_T412	Raf_S259	Ras_GRF1_S916	Shc_Y317	Smad1_5_8_SS	Stat5_Y694	MGMT	Met_Y1234Y1235	Cyclin_B1	Cyclin_D1	ERa_S118
HF2587_NP_RPPA	neurosphere	16.46	324.88	284.92	106.90	175.03	41.42	20.91	41.62	92.55	135.81	11.46	59.23	190.64	116.84	2.75	54.38	393.10	43.13	230.34	66.42	80.02	83.25	48.64	-31.35	278.83	105.35	-8.23	-16.42	4.89	-0.63	27.37	198.76	73.60	69.67	17.69	63.95	300.47	89.69	652.07	34.84	86.39	-24.37	3.01	253.28	184.33	67.66	106.74	276.06	140.49	49.93	39.67	87.61	132.45	185.80	149.51	46.92	75.51	18.88	189.83	266.79	362.96	149.83	57.69	153.22	177.53	41.82	201.16	369.99	225.35	60.23
HF2587_X1317	xenograft	15.63	328.57	288.90	107.76	176.60	41.36	20.25	41.97	85.42	136.08	11.32	60.36	191.85	118.74	2.60	53.52	398.99	42.88	231.70	61.37	78.97	82.70	48.73	-36.66	282.38	106.13	-10.22	-17.42	4.88	-1.03	27.73	200.99	74.23	70.79	17.52	62.75	299.89	89.64	665.04	34.62	86.06	-27.81	0.63	257.68	186.73	67.99	107.32	278.24	140.38	48.66	38.25	85.98	133.55	186.99	150.37	43.94	75.74	19.19	189.93	268.72	367.22	148.02	58.59	153.77	177.95	42.33	204.21	372.09	226.76	60.42
HF2587_X1336	xenograft	14.80	332.27	292.89	108.62	178.16	41.29	19.58	42.32	78.28	136.35	11.19	61.48	193.07	120.63	2.44	52.65	404.87	42.62	233.06	56.32	77.93	82.16	48.82	-41.97	285.93	106.90	-12.20	-18.41	4.87	-1.42	28.10	203.23	74.86	71.92	17.36	61.55	299.30	89.58	678.01	34.41	85.73	-31.26	-1.76	262.07	189.14	68.31	107.90	280.42	140.27	47.39	36.83	84.34	134.65	188.17	151.22	40.96	75.97	19.51	190.02	270.65	371.49	146.20	59.49480837	154.32	178.37	42.83	207.26	374.18	228.164597	60.61
HF2587_X1337	xenograft	13.97	335.97	296.87	109.48	179.72	41.22	18.92	42.66	71.15	136.61	11.06	62.61	194.28	122.52	2.28	51.79	410.75	42.37	234.42	51.27	76.88	81.61	48.90	-47.28	289.48	107.68	-14.19	-19.40	4.86	-1.81	28.46	205.46	75.49	73.04	17.20	60.36	298.72	89.53	690.99	34.19	85.40	-34.71	-4.14	266.47	191.54	68.64	108.48	282.61	140.16	46.12	35.41	82.71	135.75	189.35	152.07	37.98	76.20	19.82	190.11	272.58	375.75	144.39	60.40	154.8605569	178.79	43.34	210.31	376.27	229.57	60.79
HF2927_T_v2	tumor	12.31	343.36	304.84	111.20	182.85	41.09	17.60	43.35	56.88	137.15	10.79	64.86	196.70	126.31	1.97	50.05	422.51	41.87	237.14	41.16	74.79	80.52	49.08	-57.90	296.58	109.23	-18.16	-21.39	4.85	-2.60	29.19	209.93	76.76	75.30	16.88	57.96	297.56	89.42	716.93	33.76	84.74	-41.60	-8.90	275.26	196.34	69.29	109.63	286.97	139.94	43.59	32.56	79.44	137.95	191.72	153.77	32.01	76.65	20.46	190.29	276.44	384.27	140.76	62.20	155.95	179.63	44.34	216.41	380.46	232.38	61.16
HF2927_NP_RPPA	neurosphere	11.48	347.05	308.83	112.06	184.41	41.03	16.94	43.70	49.75	137.41	10.66	65.99	197.92	128.20	1.82	49.19	428.39	41.62	238.50	36.11	73.75	79.97	49.17	-63.21	300.14	110.01	-20.14	-22.38	4.84	-2.99	29.56	212.16	77.39	76.42	16.72	56.77	296.98	89.36	729.91	33.55	84.41	-45.05	-11.29	279.65	198.74	69.62	110.21	289.15	139.83	42.32	31.14	77.80	139.05	192.91	154.63	29.03	76.88	20.77	190.38	278.38	388.54	138.94	63.10	156.50	180.05	44.85	219.46	382.55	233.78	61.35
HF2927_X1394	xenograft	10.65	350.75	312.81	112.92	185.98	40.96	16.28	44.05	42.62	137.68	10.53	67.11	199.13	130.09	1.66	48.32	434.27	41.37	239.86	31.05	72.70	79.43	49.25	-68.52	303.69	110.78	-22.13	-23.37	4.83	-3.38	29.92	214.39	78.02	77.55	16.56	55.57	296.40	89.31	742.88	33.34	84.08	-48.50	-13.67	284.04	201.14	69.95	110.79	291.34	139.72	41.05	29.72	76.17	140.15	194.09	155.48	26.04	77.11	21.09	190.47	280.31	392.80	137.13	64.00	157.04	180.47	45.35	222.51	384.65	235.19	61.53
HF2927_X1399	xenograft	9.82	354.44	316.80	113.78	187.54	40.89	15.62	44.39	35.48	137.95	10.40	68.24	200.34	131.98	1.50	47.46	440.15	41.12	241.22	26.00	71.66	78.88	49.34	-73.83	307.24	111.56	-24.11	-24.36	4.82	-3.77	30.29	216.63	78.65	78.68	16.40	54.37	295.82	89.25	755.85	33.12	83.75	-51.95	-16.05	288.44	203.54	70.27	111.37	293.52	139.61	39.78	28.30	74.54	141.25	195.27	156.33	23.06	77.34	21.40	190.56	282.24	397.06	135.32	64.90	157.59	180.89	45.86	225.56	386.74	236.59	61.72
HF2927_X1400	xenograft	8.99	358.14	320.78	114.64	189.10	40.83	14.96	44.74	28.35	138.22	10.26	69.36	201.55	133.87	1.35	46.59	446.03	40.87	242.58	20.95	70.61	78.34	49.43	-79.14	310.79	112.33	-26.10	-25.36	4.81	-4.17	30.66	218.86	79.28	79.80	16.24	53.17	295.24	89.20	768.83	32.91	83.41	-55.40	-18.43	292.83	205.94	70.60	111.95	295.70	139.50	38.51	26.87	72.90	142.35	196.46	157.18	20.08	77.57	21.72	190.65	284.17	401.32	133.50	65.81	158.1323622	181.30	46.36	228.61	388.83	238.00	61.91
HF3016_T_v1T	tumor	7.33	365.53	328.75	116.35	192.23	40.70	13.64	45.43	14.08	138.75	10.00	71.61	203.98	137.66	1.03	44.86	457.79	40.37	245.30	10.84	68.52	77.25	49.60	-89.76	317.89	113.88	-30.07	-27.34	4.79	-4.95	31.39	223.32	80.54	82.06	15.91	50.78	294.08	89.09	794.77	32.48	82.75	-62.29	-23.20	301.62	210.75	71.25	113.10	300.07	139.28	35.97	24.03	69.63	144.55	198.83	158.89	14.11	78.02	22.35	190.84	288.03	409.85	129.87	67.61	159.22	182.14	47.37	234.71	393.02	240.81	62.28
HF3016_NP_RPPA	neurosphere	6.51	369.23	332.73	117.21	193.79	40.63	12.98	45.77	6.95	139.02	9.87	72.74	205.19	139.55	0.88	43.99	463.67	40.12	246.66	5.79	67.48	76.70	49.69	-95.07	321.44	114.66	-32.05	-28.33	4.78	-5.34	31.75	225.56	81.17	83.18	15.75	49.58	293.50	89.03	807.74	32.26	82.42	-65.74	-25.58	306.02	213.15	71.58	113.68	302.25	139.17	34.70	22.61	68.00	145.65	200.01	159.74	11.13	78.25	22.66	190.93	289.96	414.11	128.06	68.51	159.77	182.56	47.87	237.76	395.11	242.22	62.46
HF3016_X1876	xenograft	5.68	372.92	336.72	118.07	195.36	40.56	12.31	46.12	-0.18	139.28	9.73	73.86	206.40	141.44	0.72	43.13	469.55	39.87	248.02	0.74	66.43	76.16	49.78	-100.38	324.99	115.43	-34.04	-29.33	4.77	-5.74	32.12	227.79	81.80	84.31	15.59	48.39	292.92	88.98	820.72	32.05	82.09	-69.19	-27.96	310.41	215.55	71.91	114.26	304.44	139.06	33.43	21.18	66.36	146.75	201.19	160.59	8.15	78.48	22.98	191.02	291.89	418.37	126.24	69.41	160.3135657	182.98	48.38	240.81	397.20	243.62	62.65
HF3016_X1877	xenograft	4.85	376.62	340.70	118.93	196.92	40.50	11.65	46.47	-7.32	139.55	9.60	74.99	207.62	143.34	0.57	42.26	475.43	39.62	249.38	-4.32	65.39	75.61	49.87	-105.69	328.54	116.21	-36.02	-30.32	4.76	-6.13	32.48	230.02	82.43	85.43	15.43	47.19	292.34	88.92	833.69	31.83	81.76	-72.63	-30.35	314.80	217.95	72.23	114.84	306.62	138.95	32.16	19.76	64.73	147.85	202.38	161.44	5.17	78.71	23.29	191.11	293.83	422.63	124.43	70.31321654	160.86	183.40	48.88	243.86	399.30	245.03	62.83
HF3016_X1878	xenograft	4.02	380.32	344.69	119.79	198.48	40.43	10.99	46.81	-14.45	139.82	9.47	76.11	208.83	145.23	0.41	41.39	481.31	39.36	250.74	-9.37	64.34	75.06	49.96	-111.00	332.09	116.99	-38.01	-31.31	4.75	-6.52	32.85	232.26	83.06	86.56	15.27	45.99	291.76	88.87	846.66	31.62	81.43	-76.08	-32.73	319.20	220.35	72.56	115.42	308.80	138.84	30.89	18.34	63.09	148.94	203.56	162.29	2.18	78.93	23.61	191.20	295.76	426.90	122.61	71.21	161.40	183.82	49.38	246.91	401.39	246.43	63.02
HF3019	tumor did not pass QC	2.359498024	387.7069748	352.6577147	121.5082103	201.6084943	40.29915488	9.670730801	47.50450441	-28.71514746	140.3530584	9.202342771	78.36385321	211.2536181	149.0125435	0.096622667	39.66137453	493.0758175	38.86295288	253.4548021	-19.47437165	62.25233307	73.97375269	50.13021905	-121.6222189	339.1890349	118.536359	-41.97698429	-33.29502743	4.735797085	-7.307418042	33.5791058	236.7234514	84.32376846	88.81272207	14.94762748	43.59682562	290.5939013	88.75509825	872.6102208	31.19058876	80.76614468	-82.97713799	-37.49339093	327.9875173	225.1543201	73.2127145	116.5741887	313.1672343	138.620121	28.35137681	15.49277565	59.82595823	151.1434567	205.9297932	163.9973998	-3.782783062	79.3896191	24.24021218	191.3823053	299.6195883	435.4194421	118.986117	73.01781858	162.4947692	184.6557221	50.39289597	253.0	405.6	249.2	63.4
HF3018_NP_RPPA	neurosphere	1.53	391.40	356.64	122.37	203.17	40.23	9.01	47.85	-35.85	140.62	9.07	79.49	212.47	150.90	-0.06	38.80	498.96	38.61	254.81	-24.53	61.21	73.43	50.22	-126.93	342.74	119.31	-43.96	-34.29	4.73	-7.70	33.94	238.96	84.95	89.94	14.79	42.40	290.01	88.70	885.58	30.98	80.44	-86.42	-39.88	332.38	227.56	73.54	117.15	315.35	138.51	27.08	14.07	58.19	152.24	207.11	164.85	-6.77	79.62	24.56	191.47	301.55	439.68	117.17	73.92	163.04	185.07	50.90	256.06	407.67	250.65	63.58
HF3018_X1723	xenograft	0.70	395.10	360.63	123.23	204.73	40.17	8.35	48.20	-42.98	140.89	8.94	80.61	213.68	152.80	-0.22	37.93	504.84	38.36	256.17	-29.58	60.16	72.88	50.31	-132.24	346.29	120.09	-45.95	-35.28	4.72	-8.09	34.31	241.19	85.59	91.07	14.63	41.20	289.43	88.64	898.56	30.76	80.10	-89.87	-42.26	336.78	229.96	73.87	117.73	317.53	138.40	25.81	12.65	56.56	153.34	208.30	165.70	-9.75	79.85	24.87	191.56	303.48	443.94	115.36	74.82	163.59	185.49	51.40	259.11	409.76	252.05	63.76
HF3018_X1725	xenograft	-0.13	398.79	364.61	124.09	206.30	40.10	7.69	48.54	-50.12	141.15	8.80	81.74	214.89	154.69	-0.37	37.06	510.72	38.11	257.53	-34.63	59.12	72.34	50.39	-137.55	349.84	120.86	-47.93	-36.27	4.71	-8.48	34.68	243.42	86.22	92.19	14.46	40.01	288.85	88.59	911.53	30.55	79.77	-93.32	-44.64	341.17	232.36	74.19	118.31	319.72	138.29	24.54	11.23	54.92	154.44	209.48	166.55	-12.73	80.07	25.19	191.66	305.41	448.21	113.54	75.72	164.13	185.91	51.91	262.16	411.8545448	253.46	63.95
HF3018_X1731	xenograft	-0.96	402.49	368.60	124.94	207.86	40.03	7.03	48.89	-57.25	141.42	8.67	82.87	216.10	156.58	-0.53	36.20	516.60	37.86	258.89	-39.69	58.07	71.79	50.48	-142.86	353.39	121.64	-49.92	-37.26	4.70	-8.88	35.04	245.66	86.85	93.32	14.30	38.81	288.27	88.53	924.50	30.33	79.44	-96.77	-47.02	345.56	234.76	74.52	118.89	321.90	138.18	23.27	9.80	53.29	155.54	210.67	167.41	-15.71	80.30	25.50	191.75	307.34	452.47	111.7288111	76.62395463	164.68	186.3312843	52.41	265.21	413.95	254.86	64.13
HF3035_T_v2	tumor	-2.62	409.88	376.57	126.66	210.99	39.90	5.71	49.58	-71.52	141.96	8.41	85.12	218.53	160.37	-0.84	34.47	528.36	37.36	261.61	-49.79	55.98	70.70	50.66	-153.48	360.49	123.19	-53.89	-39.25	4.68	-9.66	35.77	250.12	88.11	95.57	13.98	36.41	287.11	88.42	950.45	29.90	78.78	-103.66	-51.79	354.35	239.56	75.17	120.04	326.27	137.96	20.73	6.96	50.02	157.74	213.03	169.11	-21.68	80.76	26.13	191.93	311.21	460.99	108.10	78.43	165.77	187.17	53.42	271.31	418.13	257.67	64.51
HF3035_NP_RPPA_z2	neurosphere	-3.44	413.58	380.55	127.52	212.55	39.84	5.04	49.93	-78.65	142.22	8.27	86.24	219.74	162.26	-1.00	33.60	534.24	37.11	262.97	-54.84	54.94	70.16	50.74	-158.79	364.04	123.96	-55.87	-40.24	4.67	-10.06	36.14	252.36	88.74	96.70	13.82	35.22	286.53	88.37	963.42	29.69	78.45	-107.11	-54.17	358.75	241.96	75.50	120.62	328.45	137.85	19.46	5.54	48.39	158.84	214.22	169.96	-24.66	80.99	26.45	192.02	313.14	465.25	106.29	79.33	166.31	187.59	53.92	274.36	420.23	259.08	64.69
HF3035_X2156	xenograft	-4.27	417.27	384.53	128.38	214.11	39.77	4.38	50.27	-85.78	142.49	8.14	87.37	220.95	164.15	-1.15	32.73	540.12	36.86	264.33	-59.90	53.89	69.61	50.83	-164.10	367.59	124.74	-57.86	-41.23	4.66	-10.45	36.50	254.59	89.37	97.82	13.66	34.02	285.95	88.31	976.40	29.47	78.12	-110.56	-56.55	363.14	244.36	75.83	121.20	330.63	137.74	18.20	4.11	46.75	159.94	215.40	170.81	-27.64	81.21	26.76	192.11	315.07	469.52	104.47	80.23	166.86	188.01	54.43	277.41	422.32	260.48	64.88
HF3035_X2157	xenograft	-5.10	420.97	388.52	129.24	215.68	39.70	3.72	50.62	-92.91	142.76	8.01	88.49	222.17	166.04	-1.31	31.87	546.00	36.61	265.69	-64.95	52.85	69.06	50.92	-169.41	371.14	125.52	-59.84	-42.23	4.65	-10.84	36.86867011	256.82	90.00	98.95	13.50	32.82	285.37	88.26	989.37	29.26	77.79	-114.01	-58.94	367.54	246.77	76.15	121.78	332.81	137.63	16.93	2.69	45.12	161.04	216.59	171.67	-30.63	81.44	27.08	192.20	317.00	473.78	102.66	81.13	167.40	188.43	54.93	280.46	424.41	261.89	65.06
HF3035_X2160	xenograft	-5.93	424.67	392.50	130.10	217.24	39.64	3.06	50.96	-100.05	143.02	7.88	89.62	223.38	167.94	-1.47	31.00	551.88	36.36	267.05	-70.00	51.80	68.52	51.01	-174.72	374.69	126.29	-61.83	-43.22	4.64	-11.23	37.23	259.05	90.63	100.08	13.34	31.63	284.79	88.20	1002.34	29.05	77.46	-117.45	-61.32	371.93	249.17	76.48	122.36	335.00	137.52	15.66	1.27	43.48	162.14	217.77	172.52	-33.61	81.67	27.39	192.29	318.93	478.04	100.84	82.03	167.95	188.84	55.43	283.510455	426.51	263.29	65.25
HF3055_T_v2	tumor	-7.59	432.06	400.47	131.82	220.37	39.51	1.74	51.66	-114.31	143.56	7.61	91.87	225.80	171.72	-1.78	29.27	563.64	35.85	269.77	-80.11	49.71	67.43	51.18	-185.34	381.79	127.84	-65.79	-45.20	4.63	-12.02	37.97	263.52	91.89	102.33	13.02	29.23	283.63	88.09	1028.29	28.62	76.79	-124.35	-66.08	380.72	253.97	77.13	123.51	339.36	137.30	13.12	-1.58	40.21	164.34	220.14	174.22	-39.58	82.13	28.03	192.47	322.79	486.57	97.21	83.84	169.04	189.68	56.44	289.61	430.69	266.10	65.62
HF137_EP_7	non-tumor brain	-8.42	435.75	404.46	132.68	221.93		1.08	52.00	-121.45	143.83	7.48	92.99	227.02	173.61	-1.93	28.40	569.52	35.60	271.13	-85.16	48.67	66.88	51.27	-190.65	385.34	128.62	-67.78	-46.20	4.62	-12.41		265.75	92.52	103.45	12.85	28.03	283.04	88.04	1041.26	28.40	76.46	-127.80	-68.46	385.11	256.37	77.46	124.09	341.55	137.19	11.85	-3.00		165.43	221.32	175.07	-42.56	82.35	28.34	192.57	324.73	490.83	95.40	84.74	169.58	190.10	56.95	292.66	432.78	267.51	65.81
HF156_EP_4	non-tumor brain	-9.25	439.45	408.44	133.54	223.49	39.44	0.42	52.35	-128.58	144.09	7.35	94.12	228.23	175.50	-2.09	27.54	575.40	35.35	272.49	-90.21	47.62	66.34	51.36	-195.96	388.89	129.39	-69.76	-47.19	4.61	-12.80	38.33	267.99	93.15	104.58	12.69	26.84	282.46	87.98	1054.23	28.19	76.13	-131.25	-70.85	389.51	258.77	77.79	124.67	343.73	137.08	10.58	-4.42	38.58	166.53	222.51	175.93	-45.54	82.58	28.66	192.66	326.66	495.09	93.59	85.64	170.13	190.52	57.45	295.71	434.88	268.91	65.99083521
HF163_EP_6	non-tumor brain	-10.08	443.14	412.43	134.40	225.06	39.37	-0.24	52.69	-135.71	144.36	7.21	95.24	229.44	177.40	-2.25	26.67	581.29	35.10	273.85	-95.27	46.58	65.79	51.44	-201.27	392.44	130.17	-71.75	-48.18	4.60	-13.20	38.70	270.22	93.78	105.71	12.53	25.64	281.88	87.93	1067.21	27.97	75.80	-134.69	-73.23	393.90	261.17	78.11	125.25	345.91	136.97	9.31	-5.84	36.95	167.63	223.69	176.78	-48.52	82.81	28.97	192.75	328.59	499.35	91.77	86.54082878	170.67	190.94	57.95	298.7609926	436.97	270.32	66.18
HF2354_T_v1B	tumor	-11.74	450.54	420.40	136.11	228.18	39.24166153	-1.56	53.38	-149.98	144.89	6.95	97.49	231.86	181.18	-2.56	24.94	593.05	34.60	276.57	-105.37	44.49	64.70	51.62	-211.89	399.55	131.72	-75.72	-50.17	4.58	-13.98	39.43	274.69	95.05	107.96	12.21	23.25	280.72	87.82	1093.15	27.54	75.14	-141.59	-77.99	402.69	265.98	78.77	126.41	350.28	136.76	6.77	-8.689254218	33.68	169.83	226.06	178.48	-54.49	83.27	29.60	192.93	332.45	507.88	88.14	88.34	171.76	191.78	58.96	304.86	441.16	273.13	66.55
HF2354_NP_RPPA	neurosphere	-12.57	454.23	424.38	136.97	229.75	39.18	-2.23	53.73	-157.11	145.16	6.81	98.62	233.08	183.07	-2.72	24.07	598.93	34.35	277.93	-110.43	43.44	64.16	51.71	-217.20	403.10	132.49	-77.70	-51.16	4.57	-14.37	39.79	276.92	95.68	109.09	12.05	22.05	280.14	87.76	1106.13	27.33	74.81	-145.04	-80.38	407.08	268.38	79.09	126.98	352.46	136.65	5.50	-10.11	32.04	170.93	227.24	179.33	-57.47	83.49	29.92	193.02	334.38	512.14	86.33	89.25	172.31	192.20	59.47	307.91	443.25	274.53	66.73
HF2354_X1301	xenograft	-13.39	457.93	428.36	137.83	231.31	39.11	-2.89	54.08	-164.25	145.43	6.68	99.74	234.29	184.97	-2.87	23.21	604.81	34.10	279.28	-115.48	42.40	63.61	51.79	-222.51	406.65	133.27	-79.69	-52.15	4.56	-14.77	40.16	279.15	96.31	110.21	11.89	20.85	279.56	87.71	1119.10	27.12	74.48	-148.48	-82.76	411.48	270.78	79.42	127.56	354.64	136.54	4.23	-11.53	30.41	172.03	228.43	180.19	-60.45	83.72	30.23	193.11	336.31	516.40	84.51	90.15	172.86	192.61	59.97	310.96	445.34	275.94	66.92
HF2354_X1305	xenograft	-14.22	461.62	432.35	138.69	232.87	39.04	-3.55	54.42	-171.38	145.70	6.55	100.87	235.50	186.86	-3.03	22.34	610.69	33.85	280.64	-120.53	41.35	63.06	51.88	-227.82	410.20	134.05	-81.67	-53.14	4.55	-15.16	40.52	281.39	96.94	111.34	11.73	19.65	278.98	87.65	1132.07	26.90	74.15	-151.93	-85.14	415.87	273.18	79.75	128.14	356.83	136.43	2.96	-12.96	28.77	173.13	229.61	181.04	-63.44	83.95	30.55	193.20	338.24	520.66	82.70	91.05	173.40	193.03	60.48	314.01	447.44	277.34	67.10
HF2354_X1309	xenograft	-15.05	465.32	436.33	139.55	234.44	38.98	-4.21	54.77	-178.51	145.96	6.42	102.00	236.71	188.75	-3.18	21.48	616.57	33.60	282.00	-125.58	40.31	62.52	51.97	-233.13	413.75	134.82	-83.66	-54.14	4.54	-15.55	40.89	283.62	97.57	112.46	11.57	18.46	278.40	87.60	1145.05	26.69	73.81	-155.38	-87.52	420.27	275.58	80.07	128.72	359.01	136.32	1.69	-14.38	27.14	174.23	230.79	181.89	-66.42	84.18	30.86	193.29	340.18	524.93	80.89	91.95	173.95	193.45	60.98	317.06	449.53	278.75	67.29
HF2587_T_v7	tumor	-16.71	472.71	444.30	141.27	237.56	38.85	-5.53	55.46	-192.78	146.50	6.15	104.25	239.14	192.53	-3.50	19.74	628.33	33.09	284.72	-135.69	38.22	61.43	52.14	-243.75	420.85	136.37	-87.63	-56.12	4.53	-16.34	41.62	288.09	98.83	114.72	11.24	16.06	277.24	87.49	1170.99	26.26	73.15	-162.28	-92.29	429.06	280.383072	80.72490395	129.87	363.38	136.0969021	-0.85	-17.22	23.87	176.43	233.16	183.59	-72.39	84.63	31.50	193.48	344.04	533.45	77.26	93.75	175.04	194.29	61.99	323.16	453.72	281.56	67.66
HF2587_NP_RPPA	neurosphere	-17.54	476.41	448.29	142.13	239.13	38.78	-6.19	55.81	-199.91	146.76	6.02	105.37	240.35	194.43	-3.65	18.88	634.21	32.84	286.08	-140.74	37.17	60.88	52.23	-249.06	424.40	137.15	-89.61	-57.11	4.52	-16.73	41.99	290.32	99.46	115.84	11.08	14.87	276.66	87.43	1183.96	26.04	72.82	-165.72	-94.67	433.45	282.78	81.05	130.45	365.56	135.99	-2.12	-18.65	22.24	177.53	234.35	184.45	-75.37	84.86	31.81	193.57	345.97	537.71	75.44	94.65	175.58	194.71	62.49	326.21	455.81	282.96	67.85
HF2587_X1317	xenograft	-18.37	480.10	452.27	142.99	240.69	38.71	-6.85	56.15	-207.05	147.03	5.89	106.50	241.56	196.32	-3.81	18.01	640.09	32.59	287.44	-145.80	36.13	60.34	52.32	-254.37	427.95	137.92	-91.60	-58.11	4.51	-17.12	42.35	292.55	100.09	116.97	10.92	13.67	276.08	87.38	1196.94	25.83	72.49	-169.17	-97.05	437.84	285.19	81.38	131.03	367.74	135.88	-3.39	-20.07	20.60	178.63	235.53	185.30	-78.35	85.09	32.13	193.66	347.90	541.97	73.63	95.56	176.13	195.13	63.00	329.26	457.90	284.37	68.03
HF2587_X1336	xenograft	-19.20	483.80	456.26	143.85	242.25	38.65	-7.51	56.50	-214.18	147.30	5.75	107.62	242.78	198.21	-3.97	17.15	645.97	32.34	288.80	-150.85	35.09	59.79	52.41	-259.68	431.50	138.70	-93.58	-59.10	4.50	-17.51	42.72	294.79	100.72	118.10	10.76	12.47	275.50	87.32	1209.91	25.61	72.16	-172.62	-99.44	442.24	287.59	81.70	131.61	369.92	135.77	-4.66	-21.49	18.97	179.73	236.71	186.15	-81.33	85.32	32.44	193.75	349.83	546.24	71.81	96.45770293	176.67	195.55	63.50	332.31	459.99	285.7714114	68.22
HF2587_X1337	xenograft	-20.03	487.49	460.24	144.70	243.82	38.58	-8.17	56.84	-221.31	147.56	5.62	108.75	243.99	200.10	-4.12	16.28	651.85	32.09	290.16	-155.90	34.04	59.25	52.49	-264.99	435.05	139.47	-95.57	-60.09	4.49	-17.91	43.08	297.02	101.35	119.22	10.60	11.27	274.91	87.27	1222.88	25.40	71.83	-176.07	-101.82	446.63	289.99	82.03	132.19	372.11	135.66	-5.93	-22.91	17.33	180.83	237.90	187.00	-84.32	85.55	32.76	193.84	351.76	550.50	70.00	97.36	177.2178929	195.97	64.00	335.36	462.09	287.18	68.40
HF2927_T_v3	tumor	-21.69	494.89	468.21	146.42	246.94	38.45	-9.50	57.54	-235.58	148.10	5.36	111.00	246.41	203.89	-4.43	14.55	663.61	31.59	292.88	-166.01	31.95	58.16	52.67	-275.61	442.15	141.02	-99.54	-62.08	4.47	-18.69	43.81	301.48	102.61	121.47	10.28	8.88	273.75	87.16	1248.83	24.97	71.17	-182.96	-106.58	455.42	294.79	82.68	133.34	376.47	135.44	-8.46	-25.76	14.06	183.02	240.27	188.71	-90.28	86.00	33.39	194.02	355.62	559.02	66.37	99.16	178.31	196.80	65.01	341.46	466.27	289.99	68.78
HF2927_NP_RPPA	neurosphere	-22.52	498.58	472.19	147.28	248.51	38.38	-10.16	57.88	-242.71	148.37	5.22	112.12	247.63	205.78	-4.59	13.68	669.50	31.34	294.24	-171.06	30.91	57.61	52.76	-280.92	445.70	141.80	-101.52	-63.07	4.46	-19.08	44.18	303.72	103.25	122.60	10.12	7.68	273.17	87.10	1261.80	24.76	70.84	-186.41	-108.97	459.82	297.19	83.01	133.92	378.66	135.33	-9.73	-27.18	12.43	184.12	241.45	189.56	-93.26	86.23	33.70	194.11	357.56	563.29	64.56	100.06	178.85	197.22	65.52	344.51	468.37	291.39	68.96
HF2927_X1394	xenograft	-23.34	502.28	476.18	148.14	250.07	38.32	-10.82	58.23	-249.85	148.63	5.09	113.25	248.84	207.67	-4.75	12.82	675.38	31.09	295.60	-176.11	29.86	57.06	52.84	-286.23	449.25	142.57	-103.51	-64.06	4.45	-19.48	44.54	305.95	103.88	123.73	9.96	6.49	272.59	87.05	1274.78	24.54	70.50	-189.86	-111.35	464.21	299.59	83.34	134.50	380.84	135.22	-11.00	-28.60	10.80	185.22	242.63	190.41	-96.25	86.46	34.02	194.20	359.49	567.55	62.74	100.97	179.40	197.64	66.02	347.56	470.46	292.80	69.15
HF2927_X1399	xenograft	-24.17	505.97	480.16	149.00	251.63	38.25	-11.48	58.57	-256.98	148.90	4.96	114.37	250.05	209.57	-4.90	11.95	681.26	30.84	296.96	-181.17	28.82	56.52	52.93	-291.54	452.80	143.35	-105.49	-65.05	4.44	-19.87	44.91	308.18	104.51	124.85	9.79	5.29	272.01	86.99	1287.75	24.33	70.17	-193.31	-113.73	468.60	301.99	83.66	135.08	383.02	135.11	-12.27	-30.03	9.16	186.32	243.82	191.26	-99.23	86.69	34.33	194.30	361.42	571.81	60.93	101.87	179.94	198.06	66.53	350.61	472.55	294.20	69.33
